Train Loss,no train rows,Test Loss,No test rows,Time taken (M),Date,Time
0.23498848,32000,0.2907519,7936,1.4,6/12/2022,13:12:00
0.23259406,32000,0.27064844,7936,1.45,6/12/2022,13:13:00
0.23334565,32000,0.28637198,7936,1.4,6/12/2022,13:14:00
0.22255637,32000,0.2788302,7936,1.39,6/12/2022,13:14:00
0.21945457,32000,0.30056786,7936,1.4,6/12/2022,13:15:00
0.21889584,32000,0.27089919,7936,1.38,6/12/2022,13:16:00
0.24013841,32000,0.27604052,7936,1.47,6/12/2022,13:17:00
0.22175761,32000,0.26814851,7936,1.42,6/12/2022,13:17:00
0.20554513,32000,0.26835626,7936,1.42,6/12/2022,13:18:00
0.1914857,32000,0.2865643,7936,1.42,6/12/2022,13:19:00
0.17659011,32000,0.28001689,7936,1.42,6/12/2022,13:20:00
0.16627097,32000,0.27455705,7936,1.42,6/12/2022,13:20:00
0.14932747,32000,0.28131239,7936,1.42,6/12/2022,13:21:00
0.13809975,32000,0.28423923,7936,1.42,6/12/2022,13:22:00
0.13090493,32000,0.29880983,7936,1.42,6/12/2022,13:22:00
0.1139333,32000,0.32139223,7936,1.42,6/12/2022,13:23:00
0.20577298,32000,0.27004495,7936,1.47,6/12/2022,13:24:00
0.19306779,32000,0.2692054,7936,1.42,6/12/2022,13:25:00
0.17834921,32000,0.27431323,7936,1.44,6/12/2022,13:26:00
0.17274481,32000,0.27801737,7936,1.47,6/12/2022,13:27:00
0.17186028,32000,0.27628262,7936,1.4,6/12/2022,13:28:00
0.17055903,32000,0.27499935,7936,1.42,6/12/2022,13:28:00
0.17060985,32000,0.27540583,7936,1.41,6/12/2022,13:29:00
0.16999686,32000,0.27939948,7936,1.42,6/12/2022,13:30:00
0.16996728,32000,0.2769629,7936,1.42,6/12/2022,13:30:00
0.16961902,32000,0.27940509,7936,1.42,6/12/2022,13:31:00
0.16850228,32000,0.28161647,7936,1.42,6/12/2022,13:32:00
0.16784204,32000,0.27981119,7936,1.42,6/12/2022,13:32:00
0.16765815,32000,0.28277856,7936,1.42,6/12/2022,13:33:00
0.16826286,32000,0.27632631,7936,1.4,6/12/2022,13:34:00
0.16692231,32000,0.2791665,7936,1.42,6/12/2022,13:35:00
0.16578644,32000,0.27531868,7936,1.42,6/12/2022,13:35:00
0.16623057,32000,0.28554795,7936,1.42,6/12/2022,13:36:00
0.16492182,32000,0.28691829,7936,1.42,6/12/2022,13:37:00
0.16520624,32000,0.27613948,7936,1.42,6/12/2022,13:37:00
0.16452675,32000,0.28111929,7936,1.42,6/12/2022,13:38:00
0.16391999,32000,0.28599577,7936,1.42,6/12/2022,13:39:00
0.16413684,32000,0.28589184,7936,1.42,6/12/2022,13:40:00
0.16400124,32000,0.28187119,7936,1.42,6/12/2022,13:40:00
0.21328098,32000,0.28642247,7936,2.77,6/12/2022,15:15:00
0.2049428,32000,0.27342234,7936,2.72,6/12/2022,15:17:00
0.20218553,32000,0.27495164,7936,2.74,6/12/2022,15:18:00
0.20161252,32000,0.26730681,7936,2.74,6/12/2022,15:20:00
0.1982325,32000,0.27292175,7936,2.72,6/12/2022,15:21:00
0.1953278,32000,0.27696567,7936,2.72,6/12/2022,15:22:00
0.19129088,32000,0.27920338,7936,2.72,6/12/2022,15:24:00
0.18723713,32000,0.27440445,7936,2.72,6/12/2022,15:25:00
0.18685171,32000,0.2716113,7936,2.72,6/12/2022,15:26:00
0.18175932,32000,0.2812586,7936,2.72,6/12/2022,15:28:00
0.1783425,32000,0.28029791,7936,2.72,6/12/2022,15:29:00
0.17507871,32000,0.26954859,7936,2.72,6/12/2022,15:30:00
0.17267215,32000,0.27605766,7936,2.73,6/12/2022,15:32:00
0.17421932,32000,0.27980584,7936,2.72,6/12/2022,15:33:00
0.16822326,32000,0.26847817,7936,2.72,6/12/2022,15:35:00
0.15979795,32000,0.27114217,7936,2.74,6/12/2022,15:36:00
0.158536,32000,0.32787774,7936,2.72,6/12/2022,15:37:00
0.15472918,32000,0.28702066,7936,2.72,6/12/2022,15:39:00
0.15214596,32000,0.29565444,7936,2.74,6/12/2022,15:40:00
0.14696017,32000,0.26919427,7936,2.74,6/12/2022,15:41:00
0.20554748,32000,0.2925519,7936,0.83,6/12/2022,16:20:00
0.20102447,32000,0.27429034,7936,0.82,6/12/2022,16:21:00
0.19504648,32000,0.27907605,7936,0.83,6/12/2022,16:21:00
0.1939364,32000,0.27559787,7936,4.2,6/12/2022,16:24:00
0.1900769,32000,0.28307874,7936,4.06,6/12/2022,16:26:00
0.18853275,32000,0.26924129,7936,4.06,6/12/2022,16:28:00
0.18299529,32000,0.26884519,7936,4.05,6/12/2022,16:30:00
0.17823191,32000,0.28230735,7936,4.06,6/12/2022,16:32:00
0.17778016,32000,0.27975069,7936,4.04,6/12/2022,16:34:00
0.69313109,31744,0.69337439,7680,1.51,7/12/2022,12:56:00
0.69308089,31744,0.69332942,7680,1.44,7/12/2022,12:57:00
0.52290072,31744,0.38780203,7680,1.55,7/12/2022,12:59:00
0.36814994,31744,0.37136304,7680,1.48,7/12/2022,13:00:00
0.32970097,31744,0.36981507,7680,1.5,7/12/2022,13:00:00
0.30613242,31744,0.29384308,7680,1.57,7/12/2022,13:01:00
0.24590716,31744,0.2779096,7680,1.5,7/12/2022,13:02:00
0.20284014,31744,0.37189052,7680,1.52,7/12/2022,13:03:00
0.47392881,31744,0.40338746,7680,1.26,7/12/2022,15:21:00
0.40767379,31744,0.39934712,7680,1.3,7/12/2022,15:22:00
0.3798639,31744,0.37463238,7680,1.34,7/12/2022,15:23:00
0.38023756,31744,0.37993633,7680,1.3,7/12/2022,15:23:00
